AgreementDuration,PoliticalPS,MilitaryPS,TerritorialPS,ConflictInRegion,Polity2,Democ,GINI Index,Median Income PerCap,Poverty Headcount ,CentralGovernmentDebtinTotalPercentofGDP,ForeignDirectInvestmentNetPercentofGDP,GDPConstant2010USdollar,GDPGrowthAnnualPercentage,GDPPerCapitaConstant2010USdollar,GDPPerCapitaGrowthAnnualPercentage,GNIConstant2010USdollar,GNIGrowthConstant2010USdollar,GNIPerCapitaConstant2010UsDollar,InflationGDPDeflatorAnnualPercentage,TradePercentofGDP,AverageHouseholdIncomeinConstant2018USD
0,0,0,0,1,4,0,,,,46.6108276,3.081772279,7044457177,9.546897709,1490.717832,7.003663866,,9.694271971,,6.994854893,94.41979144,2286.6202
0,0,0,0,0,4,0,,,,53.54501564,1.03493752,10043187460,5.94210906,1982.601572,3.503353419,,6.294548437,,7.253088482,93.30266532,3001.4914
17,0,0,1,0,4.388888889,0,41.9,,38,48.69307475,0.571509618,14219990952,4.424507534,1930.171704,2.205689193,13103843048,0.975739806,1792.467068,8.313484817,122.7578644,3074.960694
23,0,1,0,0,8,1,46.45,4.72,11.51666667,58.21949536,1.707598754,1.83E+11,4.992902676,2021.583217,3.056593803,2.17E+11,5.647905438,2380.532709,5.0561958,83.58003668,5383.071054
22,0,1,0,0,8,1,46.45,4.72,11.51666667,58.06979817,1.695143743,1.87E+11,5.006564,2043.926014,3.090628755,2.22E+11,5.678372926,2416.251157,4.947731694,83.71227592,5430.948757
17,0,0,0,0,8,1,46.2,4.72,11.04,58.5234474,1.620458095,2.06E+11,5.40018421,2172.605795,3.58500927,2.47E+11,5.51291872,2599.129599,3.624212351,79.39058444,5721.772956
0,0,1,0,0,-7,0,,,,,0.296799521,2475353880,-8.108691874,395.1867673,-1.67594807,2458731796,-8.322145022,392.533075,13.87050258,25.67900701,961.4258
3,0,1,0,0,7.75,1,39.2,,37.4,,1.943712206,13867142396,4.723358602,1232.886921,2.057205583,13773978060,4.872262897,1224.550959,3.080817993,65.74155508,2777.2149
27,0,0,0,0,8,1,39.6,9.73,5.85,,4.825556889,35975821056,3.160334156,4923.399116,3.554636143,36088525612,2.745024675,4948.548364,20.02746576,70.05879577,9410.819846
1,0,1,0,0,2,0,,,,,0.141107071,1342960593,-2.061630308,310.6108549,-2.410083317,,,,15.91662743,38.93677735,949.666
1,1,1,0,1,0,0,,,,,3.106537853,1342532131,2.336721149,296.7173204,0.026937713,,,,10.23749674,45.6395633,764.57545
18,1,1,0,0,5.842105263,0,37.1,,56.4,,7.72096959,2583833237,5.974779422,406.2458094,2.99660304,2577460564,6.892088193,406.3405753,13.37101915,58.26535521,1237.426679
0,0,0,0,1,0,0,,,,,,,,,,,,,,,1674.9753
0,0,0,0,1,0,0,,,,,,,,,,,,,,,1300.1053
25,0,1,0,0,8.961538462,1,61.71428571,4.52,25.95714286,45.08820849,1.372744822,3.28E+11,2.691729769,6680.782614,1.119559135,3.20E+11,2.63903735,6521.107985,7.393302315,55.10268146,10060.4535
13,0,1,1,1,-1.571428571,0,35.4,,14.9,,2.865068401,65483880379,4.341810307,1639.329107,3.527274994,59392495368,5.351508372,4.509223626,18.50655826,31.50600577,1670.464096
21,1,1,0,1,-2.636363636,0,32.13333333,4.765,20.08333333,,4.170653255,5193060587,7.150161833,685.305039,5.020560182,4792180747,8.525878662,676.9146652,20.75989058,109.0512999,2297.443132
16,0,1,0,1,-1.529411765,0,43.22,2.285,48.74,,4.16079245,20307191679,6.502067487,602.8474347,3.049531065,19876879917,6.511687968,590.1290203,7.704752748,45.6462997,1829.154429
20,0,0,1,0,9.714285714,1,34.10833333,38.585,0.25,66.14436088,4.527893381,2.44E+12,1.992473764,39238.61522,1.358952481,2.41E+12,1.951261667,38895.11207,1.882648479,55.10971661,35856.81172
